Evento 	Fecha 	Hora 	Lat 	Long 	Prof.					
(km) 	Int 	Mag 	Tipo Mag 	LocalizaciÛn 	info					
15314	24/08/1995	5:06:35	28.3667	-16.1317	12		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
15384	21/09/1995	3:25:41	28.03	-16.1733	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
15389	23/09/1995	18:01:20	28.0533	-16.205	-999		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
15632	30/11/1995	1:39:56	28.0683	-16.205	10		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
15723	15/12/1995	16:00:18	28.855	-16.68	18		2.9	2	ATL¡NTICO-CANARIAS 	[+] info
15806	31/12/1995	23:59:48	28.1117	-16.2	29		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
16228	11/05/1996	5:43:03	28.17	-16.07	-999		2.8	2	ATL¡NTICO-CANARIAS 	[+] info
16232	11/05/1996	22:40:22	28.1267	-16.16	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
16283	05/06/1996	10:09:11	28.0683	-16.3667	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
16479	28/07/1996	22:55:49	28.435	-16.1567	9		2	2	SE SANTA CRUZ DE TENERIFE.ITF 	[+] info
16480	28/07/1996	23:13:56	28.3717	-16.16	-999		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
16502	05/08/1996	0:25:11	28.2267	-16.24	14		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
16540	16/08/1996	5:25:04	28.16	-16.22	-999		2.2	2	ATL¡NTICO-CANARIAS 	[+] info
16547	17/08/1996	5:19:22	28.07	-16.2967	9		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
16645	14/09/1996	4:21:23	28.1967	-16.0867	-999		2.6	2	ATL¡NTICO-CANARIAS 	[+] info
16667	20/09/1996	3:08:56	28.1167	-16.125	-999		2.5	2	ATL¡NTICO-CANARIAS 	[+] info
16681	27/09/1996	22:14:04	28.2017	-16.1967	-999		2.4	2	ATL¡NTICO-CANARIAS 	[+] info
16772	29/10/1996	23:49:58	28.0817	-16.175	-999		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
16822	17/11/1996	7:09:10	28.2217	-16.2283	25		2.1	2	ATL¡NTICO-CANARIAS 	[+] info
16842	29/11/1996	14:29:23	28.03	-16.1133	-999		3.2	2	ATL¡NTICO-CANARIAS 	[+] info
16843	29/11/1996	14:48:55	28.1833	-16.1867	-999		2.3	2	ATL¡NTICO-CANARIAS 	[+] info
